epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8257,1.69002,4.31229,1.26796,0.00328,0.94595,0.24644,0.11801,1.36785,3.36747,1.0211,0.00026672,0.00026672,0.00026672
2,33.5336,1.37676,2.02108,1.06775,0.00285,0.84181,0.00752,0.00402,1.29547,3.50527,1.02029,0.000546479,0.000546479,0.000546479
3,47.2923,1.29618,1.57776,1.02439,0.00304,0.8691,0.21687,0.12762,1.48887,3.32185,1.12762,0.000822498,0.000822498,0.000822498
4,61.6226,1.30151,1.45639,1.02825,0.83731,0.12635,0.45284,0.24143,1.50087,2.78314,1.10429,0.00109478,0.00109478,0.00109478
5,74.8357,1.26751,1.33031,1.01518,0.90989,0.25886,0.78146,0.45811,1.44599,2.44126,1.10069,0.00136331,0.00136331,0.00136331
6,88.4805,1.26375,1.26484,1.02876,0.72473,0.64149,0.78293,0.48697,1.32141,1.97092,1.07262,0.00161199,0.00161199,0.00161199
7,101.367,1.22386,1.14533,1.01103,0.74446,0.69308,0.78646,0.43486,1.46415,1.45601,1.15446,0.00160099,0.00160099,0.00160099
8,115.589,1.22309,1.06032,1.02172,0.8176,0.67727,0.76164,0.4403,1.54594,1.46943,1.23987,0.00158998,0.00158998,0.00158998
9,128.596,1.20632,0.96302,1.00542,0.90638,0.59891,0.73449,0.39706,1.57862,1.72016,1.23911,0.00157898,0.00157898,0.00157898
10,142.435,1.18318,0.91314,1.00359,0.80203,0.67047,0.78686,0.47138,1.40806,1.0977,1.16693,0.00156798,0.00156798,0.00156798
11,156.074,1.17109,0.85976,0.99737,0.85427,0.87603,0.93461,0.59611,1.28901,0.83415,1.07694,0.00155698,0.00155698,0.00155698
12,169.659,1.19106,0.8359,1.00189,0.92964,0.93349,0.96993,0.60496,1.3097,0.76547,1.05806,0.00154598,0.00154598,0.00154598
13,184.046,1.15489,0.77439,0.99512,0.73605,0.76414,0.87338,0.5567,1.30426,1.30446,1.10713,0.00153497,0.00153497,0.00153497
14,197.357,1.14887,0.74596,0.98403,0.99474,0.95449,0.99215,0.65514,1.22683,0.63547,1.05095,0.00152397,0.00152397,0.00152397
15,212.275,1.11211,0.73535,0.98771,0.99736,0.95707,0.98906,0.6485,1.19382,0.73686,1.03979,0.00151297,0.00151297,0.00151297
16,226.284,1.10684,0.70045,0.98781,0.99215,0.93906,0.97718,0.63664,1.21078,0.73416,1.05148,0.00150197,0.00150197,0.00150197
17,240.404,1.13463,0.71418,0.98971,0.88957,0.98612,0.98517,0.62984,1.32413,0.68206,1.08624,0.00149096,0.00149096,0.00149096
18,254.071,1.11606,0.68628,0.99372,0.97143,0.95113,0.98617,0.65011,1.28471,0.68817,1.0517,0.00147996,0.00147996,0.00147996
19,267.804,1.12131,0.67098,0.97374,1,0.98128,0.99401,0.65325,1.19654,0.59423,1.01656,0.00146896,0.00146896,0.00146896
20,280.893,1.0899,0.65575,0.98291,1,0.97689,0.99092,0.6666,1.19544,0.61561,1.02132,0.00145796,0.00145796,0.00145796
21,295.42,1.09896,0.64826,0.97799,0.97541,0.93821,0.97693,0.62141,1.32787,0.70731,1.0723,0.00144696,0.00144696,0.00144696
22,308.713,1.07177,0.64696,0.9697,0.99494,0.97748,0.99346,0.69799,1.17845,0.5866,1.02405,0.00143595,0.00143595,0.00143595
23,323.06,1.04698,0.60076,0.95672,0.9877,0.95383,0.99321,0.68057,1.18562,0.57695,1.03019,0.00142495,0.00142495,0.00142495
24,337.059,1.07646,0.60503,0.96644,0.98716,0.96158,0.99321,0.67087,1.21939,0.57709,1.04318,0.00141395,0.00141395,0.00141395
25,350.756,1.05066,0.5907,0.95208,0.991,0.92162,0.96643,0.65768,1.16929,0.5978,1.0325,0.00140295,0.00140295,0.00140295
26,364.843,1.06607,0.6018,0.97679,0.98238,0.98347,0.99403,0.64569,1.25206,0.57366,1.0579,0.00139195,0.00139195,0.00139195
27,379.249,1.0576,0.59369,0.97164,0.96309,0.94356,0.9818,0.64975,1.21879,0.59224,1.04716,0.00138094,0.00138094,0.00138094
28,393.303,1.03861,0.5882,0.95168,0.98067,0.92147,0.98216,0.67427,1.2205,0.59006,1.03787,0.00136994,0.00136994,0.00136994
29,407.777,1.05085,0.59066,0.96425,0.99324,0.95532,0.98563,0.67082,1.19834,0.56739,1.04152,0.00135894,0.00135894,0.00135894
30,420.631,1.0117,0.5795,0.94464,0.96456,0.96158,0.97873,0.6538,1.24434,0.61529,1.07836,0.00134794,0.00134794,0.00134794
31,434.592,1.03302,0.56367,0.94641,0.90884,0.95122,0.97496,0.66386,1.15889,0.66675,1.01102,0.00133693,0.00133693,0.00133693
32,448.489,1.02212,0.56616,0.95063,0.96765,0.99424,0.99334,0.6898,1.17343,0.53956,1.03362,0.00132593,0.00132593,0.00132593
